Symbol,Name,IPO Year,Market Cap,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,1999,37300628381,1677853,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AAIC,Arlington Asset Investment Corp Class A (new),,123348165,160130,Consumer Services,Real Estate Investment Trusts
AAN,Aarons Holdings Company Inc. Common Stock ,2020,589772767,615720,Technology,Diversified Commercial Services
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,,10404815010,1634487,Consumer Services,Other Specialty Stores
AAT,American Assets Trust Inc. Common Stock,2011,1723534394,391462,Consumer Services,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,,3545956322,671976,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,2012,1.8398E+11,8530995,Health Care,Major Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,,21881676034,1017365,Health Care,Other Pharmaceuticals
ABG,Asbury Automotive Group Inc Common Stock,2002,2832275579,372865,Consumer Durables,Automotive Aftermarket
ABM,ABM Industries Incorporated Common Stock,,2566870862,657882,Finance,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,2004,1797866447,1124661,Consumer Services,Real Estate Investment Trusts
ABT,Abbott Laboratories Common Stock,,2.13375E+11,11295747,Health Care,Major Pharmaceuticals
AC,Associated Capital Group Inc. Common Stock,2015,728486068,9892,Finance,Investment Bankers/Brokers/Service
ACC,American Campus Communities Inc Common Stock,2004,5711731777,747437,Consumer Services,Real Estate Investment Trusts
ACCO,Acco Brands Corporation Common Stock,,788103621,329079,Consumer Durables,Publishing
ACEL,Accel Entertainment Inc. ,2017,970732196,246633,Consumer Services,Services-Misc. Amusement & Recreation
ACI,Albertsons Companies Inc. Class A Common Stock,2020,8184074676,5027631,Consumer Services,Food Chains
ACIC,Atlas Crest Investment Corp. Class A Common Stock,2020,672075000,547748,Finance,Business Services
ACIC.U,Atlas Crest Investment Corp. Units each consisting of one Class A common stock and one-third of one redeemable warrant,2020,,0,,
ACIC.WS,Atlas Crest Investment Corp. Redeemable warrants included as part of the units each whole warrant exercisable for one Class A common stock at an exercise price of $11.50,,,0,,
ACM,AECOM Common Stock,2007,7530589386,822656,Consumer Services,Military/Government/Technical
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,2020,537682500,121026,Finance,Business Services
ACND.U,Ascendant Digital Acquisition Corp. Units each consisting of one Class A ordinary share and one-half of one redeemable warrant,2020,,0,,
ACND.WS,Ascendant Digital Acquisition Corp. Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share,,,0,,
ACP,Aberdeen Income Credit Strategies Fund Common Shares,2011,189312563,98266,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,2012,388595308,191945,Consumer Services,Real Estate Investment Trusts
ACV,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,2015,339815654,42617,,
ADC,Agree Realty Corporation Common Stock,,4051651142,448842,Consumer Services,Real Estate Investment Trusts
ADM,Archer-Daniels-Midland Company Common Stock,,28381405389,2962056,Consumer Non-Durables,Packaged Foods
ADS,Alliance Data Systems Corporation Common Stock,2001,3512726089,1417937,Miscellaneous,Business Services
ADT,ADT Inc. Common Stock,2018,7949162716,5855291,Consumer Services,Diversified Commercial Services
ADX,Adams Diversified Equity Fund Inc.,,1894351174,318684,,
AEE,Ameren Corporation Common Stock,,18271067744,1650023,Public Utilities,Power Generation
AEL,American Equity Investment Life Holding Company Common Stock,2003,2937995251,945483,Finance,Life Insurance
AEO,American Eagle Outfitters Inc. Common Stock,,3822234484,9488729,Consumer Services,Clothing/Shoe/Accessory Stores
AES,The AES Corporation Common Stock,,16328969683,12015468,Basic Industries,Electric Utilities: Central
AFB,AllianceBernstein National Municipal Income Fund Inc,2002,416514123,115708,,
AFC,Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15 2047,,0,5886,,
AFG,American Financial Group Inc. Common Stock,,8130355876,2348722,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,2019,0,6009,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,2019,26558377,9734,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,2020,0,46021,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,2020,0,7326,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,,32396774699,4272588,Finance,Accident &Health Insurance
AGCO,AGCO Corporation Common Stock,,8420952134,1157439,Capital Goods,Industrial Machinery/Components
AGD,Aberdeen Global Dynamic Dividend Fund,2006,134782511,71387,,
AGM,Federal Agricultural Mortgage Corporation Common Stock,,824846265,39642,Finance,Finance Companies
AGR,Avangrid Inc. Common Stock,2015,14620358714,866470,Public Utilities,Electric Utilities: Central
AGS,PlayAGS Inc. Common Stock,2018,185982009,396067,Consumer Durables,Miscellaneous manufacturing industries
AGX,Argan Inc. Common Stock,,672158272,99741,Basic Industries,Engineering & Construction
AHC,A.H. Belo Corporation (TX) Common Stock,,48173452,575348,Consumer Services,Newspapers/Magazines
AHH,Armada Hoffler Properties Inc. Common Stock,2013,864430811,246947,Finance,Real Estate
AHT,Ashford Hospitality Trust Inc Common Stock,2003,169200957,9230987,Consumer Services,Real Estate Investment Trusts
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,2015,0,411,Consumer Services,Real Estate Investment Trusts
AIG,American International Group Inc. New Common Stock,,33151510244,5048207,Finance,Property-Casualty Insurers
AIN,Albany International Corporation Common Stock,,2354670000,134340,Basic Industries,Textiles
AIR,AAR Corp. Common Stock,,1239466840,238102,Capital Goods,Aerospace
AIT,Applied Industrial Technologies Inc. Common Stock,,2833355561,259811,Consumer Durables,Industrial Specialties
AIV,Apartment Investment and Management Company Common Stock,1994,1437142480,5190357,Consumer Services,Real Estate Investment Trusts
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023,,0,381,Consumer Services,Real Estate Investment Trusts
AIZ,Assurant Inc. Common Stock,2004,7844351999,452887,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,2020,0,5817,Finance,Property-Casualty Insurers
AIZP,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,,0,51587,Finance,Property-Casualty Insurers
AJAX,Ajax I Class A Ordinary Shares,2020,1050361052,1296246,Finance,Business Services
AJAX.U,Ajax I Units each consisting of one Class A ordinary share and one-fourth of one redeemable warrant,2020,,0,,
AJAX.WS,Ajax I Redeemable warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50,,,0,,
AJG,Arthur J. Gallagher & Co. Common Stock,,22215114220,1156336,Finance,Specialty Insurers
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,,4003304404,1023850,Capital Goods,Military/Government/Technical
AJX,Great Ajax Corp. Common Stock,2015,234951319,96498,Consumer Services,Real Estate Investment Trusts
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,2017,0,3592,Consumer Services,Real Estate Investment Trusts
AKR,Acadia Realty Trust Common Stock,,1322490019,735950,Consumer Services,Real Estate Investment Trusts
AL,Air Lease Corporation Class A Common Stock,2011,4785540786,873516,Technology,Diversified Commercial Services
ALB,Albemarle Corporation Common Stock,,17711283199,1705370,Basic Industries,Major Chemicals
ALE,Allete Inc.,,3245311819,375776,Public Utilities,Power Generation
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,,1138857422,442688,Consumer Services,Real Estate Investment Trusts
ALG,Alamo Group Inc. Common Stock,,1697914781,50177,Capital Goods,Industrial Machinery/Components
ALK,Alaska Air Group Inc. Common Stock,,6266043631,2884426,Transportation,Air Freight/Delivery Services
ALL,Allstate Corporation (The) Common Stock,,33234635242,2741219,Finance,Property-Casualty Insurers
ALLE,Allegion plc Ordinary Shares,2013,10168470377,1184655,Consumer Services,Diversified Commercial Services
ALLY,Ally Financial Inc. Common Stock,2014,14447429440,5008541,Finance,Major Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,2012,4911320259,689294,Capital Goods,Auto Parts:O.E.M.
ALX,Alexander's Inc. Common Stock,,1411093154,9120,Consumer Services,Real Estate Investment Trusts
AM,Antero Midstream Corporation Common Stock,2017,3922738986,6529885,Public Utilities,Natural Gas Distribution
AMBC,Ambac Financial Group Inc. Common Stock,,678891440,513597,Finance,Property-Casualty Insurers
AMBC.WS,Ambac Financial Group Inc. Warrants,,,0,,
AME,AMETEK Inc.,,26406844172,1323760,Capital Goods,Industrial Machinery/Components
AMG,Affiliated Managers Group Inc. Common Stock,,5164810178,457811,Finance,Investment Managers
AMK,AssetMark Financial Holdings Inc. Common Stock,2019,1719220821,31495,Finance,Investment Managers
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,,3440775669,217866,Technology,Professional Services
AMP,Ameriprise Financial Inc. Common Stock,,24381299174,771209,Finance,Investment Managers
AMPY,Amplify Energy Corp. Common Stock,2016,72676950,1912803,Energy,Oil & Gas Production
AMRC,Ameresco Inc. Class A Common Stock,2010,2686722790,354375,Basic Industries,Engineering & Construction
AMT,American Tower Corporation (REIT) Common Stock,,1.01418E+11,2685565,Consumer Services,Real Estate Investment Trusts
AMWL,American Well Corporation Class A Common Stock,2020,8244608988,5231823,Miscellaneous,Business Services
AN,AutoNation Inc. Common Stock,,6350005140,983412,Consumer Durables,Automotive Aftermarket
ANF,Abercrombie & Fitch Company Common Stock,,1471172046,1418035,Consumer Services,Clothing/Shoe/Accessory Stores
ANH,Anworth Mortgage Asset Corporation Common Stock,,252058434,523493,Consumer Services,Real Estate Investment Trusts
ANTM,Anthem Inc. Common Stock,,74738132198,1766990,Health Care,Medical Specialities
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,2007,958367781,414225,,
AON,Aon plc Class A Ordinary Shares (Ireland),,47222992843,1409415,Finance,Specialty Insurers
AONE,one Class A Ordinary Shares,2020,291862500,114023,Finance,Business Services
AONE.U,one Units each consisting of one Class A Ordinary Share and one third of one Warrant to acquire one Class A Ordinary Share,2020,,0,,
AONE.WS,one Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50,,,0,,
AOS,A.O. Smith Corporation Common Stock,,9189130563,3501948,Consumer Durables,Consumer Electronics/Appliances
AP,Ampco-Pittsburgh Corporation Common Stock,,119209427,60206,Capital Goods,Fluid Controls
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,2013,4085119449,711738,Finance,Investment Managers
APD,Air Products and Chemicals Inc. Common Stock,,60978594519,982842,Basic Industries,Major Chemicals
APH,Amphenol Corporation Common Stock,,37947780164,2249404,Capital Goods,Electrical Products
APLE,Apple Hospitality REIT Inc. Common Shares,2015,2897992771,1875632,Consumer Services,Real Estate Investment Trusts
APO,Apollo Global Management Inc. Class A Common Stock,2011,10996888453,1300632,Finance,Investment Managers
APRN,Blue Apron Holdings Inc. Class A Common Stock,2017,168722589,1798216,Consumer Services,Catalog/Specialty Distribution
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,2020,1091283795,1419431,Finance,Business Services
APSG.U,Apollo Strategic Growth Capital Units each consisting of one Class A Ordinary Share and one-third Warrant,2020,,0,,
APSG.WS,Apollo Strategic Growth Capital Warrants each exercisable for one Class A Ordinary Share at an exercise price of $11.50 per share,,,0,,
APTS,Preferred Apartment Communities Inc. Common Stock,2011,367268085,413300,Consumer Services,Real Estate Investment Trusts
AQUA,Evoqua Water Technologies Corp. Common Stock,2017,3307583558,827274,Technology,Industrial Machinery/Components
ARC,ARC Document Solutions Inc. Common Stock,2004,88603294,385595,Consumer Services,Professional Services
ARCH,Arch Resources Inc. Class A Common Stock,2016,757818869,359410,Energy,Coal Mining
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares,2012,334558109,129190,,
ARE,Alexandria Real Estate Equities Inc. Common Stock,,24183364001,523416,Consumer Services,Real Estate Investment Trusts
ARI,Apollo Commercial Real Estate Finance Inc,2009,1651292912,1028637,Consumer Services,Real Estate Investment Trusts
ARL,American Realty Investors Inc. Common Stock,,145413421,13677,Finance,Real Estate
ARLO,Arlo Technologies Inc. Common Stock,2018,659169989,1467976,Consumer Non-Durables,Consumer Electronics/Appliances
AROC,Archrock Inc. Common Stock,,1406973544,1108051,Public Utilities,Natural Gas Distribution
ARR,ARMOUR Residential REIT Inc.,,737785283,884892,Consumer Services,Real Estate Investment Trusts
ARW,Arrow Electronics Inc. Common Stock,,7642906063,376639,Technology,Electronic Components
ASA,ASA  Gold and Precious Metals Limited,,407016996,92512,,
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock,2020,326703125,126143,Finance,Business Services
ASAQ.U,Atlantic Street Acquisition Corp Units each consisting of one share of Class A common stock and one-half of one Warrant,2020,,0,,
ASAQ.WS,Atlantic Street Acquisition Corp Warrants each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50 per share,,,0,,
ASB,Associated Banc-Corp Common Stock,,2811317400,1607112,Finance,Major Banks
ASG,Liberty All-Star Growth Fund Inc.,,357285005,177548,,
ASGN,ASGN Incorporated Common Stock,1992,4584843000,227092,Technology,Professional Services
ASH,Ashland Global Holdings Inc. Common Stock,,4940255011,476125,Consumer Durables,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock ,2016,621431108,152027,Basic Industries,Major Chemicals
ASPN,Aspen Aerogels Inc. Common Stock,2014,561808207,227453,Consumer Services,RETAIL: Building Materials
AT,Atlantic Power Corporation Ordinary Shares (Canada),,264098801,1108584,Energy,Electric Utilities: Central
