Symbol,Name,IPO Year,Market Cap,Volume,Sector,Industry
AACQ,Artius Acquisition Inc. Class A Common Stock,2020,958151250,898110,Finance,Business Services
AACQU,Artius Acquisition Inc. Unit ,2020,0,140508,Finance,Business Services
AACQW,Artius Acquisition Inc Warrant,2020,0,427258,Finance,Business Services
AAL,American Airlines Group Inc. Common Stock,,11055005961,317901369,Transportation,Air Freight/Delivery Services
AAME,Atlantic American Corporation Common Stock,,48177698,3191,Finance,Life Insurance
AAOI,Applied Optoelectronics Inc. Common Stock,2013,259631580,1231922,Technology,Semiconductors
AAON,AAON Inc. Common Stock,,3867482293,281366,Capital Goods,Industrial Machinery/Components
AAPL,Apple Inc. Common Stock,1980,2.37678E+12,141859593,Technology,Computer Manufacturing
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,,1456215357,615930,Transportation,Transportation Services
ABCB,Ameris Bancorp Common Stock,1994,2869264644,571424,Finance,Major Banks
ABEO,Abeona Therapeutics Inc. Common Stock,,196070169,2153692,Health Care,Major Pharmaceuticals
ABIO,ARCA biopharma Inc. Common Stock,,38963745,437646,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABMD,ABIOMED Inc. Common Stock,,16048283150,973871,Health Care,Medical/Dental Instruments
ABNB,Airbnb Inc. Class A Common Stock,2020,1.11747E+11,7058806,Finance,Diversified Commercial Services
ABTX,Allegiance Bancshares Inc. Common Stock,2015,730385057,91283,Finance,Major Banks
ACAC,Acies Acquisition Corp. Class A Ordinary Share,2020,295968750,223300,Finance,Business Services
ACACU,Acies Acquisition Corp. Unit,2020,0,40043,Finance,Business Services
ACACW,Acies Acquisition Corp. Warrant,2020,0,32907,Finance,Business Services
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,2004,7875774430,1389400,Health Care,Major Pharmaceuticals
ACBI,Atlantic Capital Bancshares Inc. Common Stock,,370575551,81403,Finance,Major Banks
ACCD,Accolade Inc. Common Stock,2020,2839082906,1572106,,
ACER,Acer Therapeutics Inc. Common Stock (DE),,52750130,428413,Health Care,Major Pharmaceuticals
ACET,Adicet Bio Inc. Common Stock ,2018,243109765,58570,Health Care,Major Pharmaceuticals
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,2020,301012500,1066775,Finance,Business Services
ACEVU,ACE Convergence Acquisition Corp. Unit,2020,0,298359,Finance,Business Services
ACEVW,ACE Convergence Acquisition Corp. Warrant,2020,0,281629,Finance,Business Services
ACHC,Acadia Healthcare Company Inc. Common Stock,,4528764814,621304,Health Care,Medical Specialities
ACHV,Achieve Life Sciences Inc. Common Shares,,70524099,276782,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACIA,Acacia Communications Inc. Common Stock,2016,4840484817,1521843,Technology,Semiconductors
